epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.836,1.12787,2.39755,2.0352,1.23835,0.47924,0.41716,0.39781,0.26436,0.43531,0.38462,0.33257,0.1933,1.04563,2.69417,1.96014,1.23986,0.000543844,0.000543844,0.000543844
2,64.8994,1.02182,1.89514,1.23782,1.16898,0.40937,0.52367,0.43384,0.29055,0.36042,0.53846,0.37591,0.20469,1.07847,2.95495,1.78196,1.27574,0.00108863,0.00108863,0.00108863
3,96.8751,1.03968,1.89887,1.19862,1.1777,0.40886,0.53408,0.41457,0.24722,0.35224,0.46012,0.32001,0.15108,1.24886,4.34227,1.89033,1.47916,0.0016224,0.0016224,0.0016224
4,129.042,1.00187,1.84167,1.10319,1.14052,0.43054,0.66568,0.45483,0.29952,0.42034,0.66722,0.45023,0.27028,1.13158,2.68921,1.85873,1.36309,0.00161749,0.00161749,0.00161749
5,160.994,0.97765,1.77616,1.10047,1.13912,0.50275,0.65385,0.49733,0.36122,0.50275,0.65385,0.49113,0.31451,1.07911,2.36763,1.84149,1.30351,0.00160099,0.00160099,0.00160099
6,192.737,0.96003,1.75155,1.06121,1.12613,0.44883,0.64497,0.44604,0.30943,0.4506,0.65089,0.44985,0.28347,1.06031,2.46011,1.7247,1.27835,0.00158448,0.00158448,0.00158448
7,224.977,0.948,1.68055,1.00538,1.11884,0.53141,0.6568,0.5652,0.40491,0.55087,0.64497,0.57042,0.38539,1.02676,2.26747,1.42014,1.25932,0.00156798,0.00156798,0.00156798
8,256.958,0.92979,1.65004,0.9621,1.1105,0.5069,0.6174,0.49641,0.35064,0.49745,0.59763,0.48549,0.32372,0.97934,2.46271,1.60305,1.23856,0.00155148,0.00155148,0.00155148
9,289.684,0.93414,1.7071,0.98074,1.1154,0.50525,0.67456,0.54508,0.41275,0.54467,0.6213,0.53708,0.38677,0.9416,1.97343,1.38257,1.20629,0.00153497,0.00153497,0.00153497
10,323.215,0.91309,1.62987,0.9258,1.09622,0.52849,0.59467,0.46967,0.32954,0.54454,0.60059,0.475,0.30935,1.03287,2.15561,1.70239,1.25749,0.00151847,0.00151847,0.00151847
11,356.146,0.91845,1.61809,0.92768,1.09393,0.52621,0.66272,0.50337,0.37605,0.52983,0.66568,0.50394,0.36737,0.92458,1.84991,1.54327,1.16808,0.00150197,0.00150197,0.00150197
12,389.532,0.88474,1.58347,0.91523,1.0873,0.5359,0.68639,0.5788,0.4414,0.57057,0.63609,0.57016,0.43011,0.89091,1.88282,1.30184,1.16619,0.00148546,0.00148546,0.00148546
13,421.927,0.8888,1.5526,0.8719,1.08274,0.58486,0.62426,0.54424,0.40295,0.61051,0.61243,0.54782,0.38922,0.91785,1.88002,1.40337,1.18706,0.00146896,0.00146896,0.00146896
14,454.266,0.87407,1.57156,0.88473,1.0795,0.61638,0.58876,0.54405,0.4023,0.59074,0.55621,0.50812,0.35323,0.96841,2.50311,1.43205,1.22917,0.00145246,0.00145246,0.00145246
15,486.677,0.87278,1.56935,0.86168,1.07813,0.5785,0.67751,0.62627,0.47593,0.60118,0.65558,0.61427,0.43707,0.92153,2.04657,1.2814,1.16763,0.00143595,0.00143595,0.00143595
16,518.712,0.84505,1.49926,0.88823,1.07299,0.53404,0.72189,0.58155,0.45169,0.53939,0.7071,0.57457,0.43482,0.84448,1.82923,1.27122,1.12088,0.00141945,0.00141945,0.00141945
17,550.982,0.85719,1.52439,0.87712,1.07487,0.52743,0.63314,0.54534,0.40818,0.52497,0.63018,0.51148,0.36359,0.96946,2.10696,1.44214,1.2087,0.00140295,0.00140295,0.00140295
18,583.001,0.83987,1.47372,0.83316,1.0641,0.57677,0.61834,0.6032,0.46474,0.60336,0.59467,0.58563,0.40896,0.92573,2.49735,1.33138,1.17307,0.00138644,0.00138644,0.00138644
19,615.672,0.85519,1.50085,0.83362,1.06466,0.53904,0.70924,0.54745,0.40358,0.55129,0.69822,0.53945,0.38487,0.96991,2.16935,1.39665,1.21271,0.00136994,0.00136994,0.00136994
20,647.875,0.81985,1.44325,0.83388,1.04888,0.53981,0.73922,0.59006,0.46011,0.55399,0.71292,0.58282,0.43329,0.868,1.92695,1.23559,1.14582,0.00135344,0.00135344,0.00135344
21,680.071,0.85023,1.51343,0.82565,1.06241,0.5697,0.65976,0.61003,0.46454,0.56537,0.65385,0.59782,0.44435,0.91789,1.94896,1.33315,1.15518,0.00133693,0.00133693,0.00133693
22,712.303,0.83733,1.4514,0.78848,1.06006,0.56928,0.68639,0.624,0.49315,0.58323,0.6716,0.61524,0.4748,0.87654,1.95043,1.22709,1.11825,0.00132043,0.00132043,0.00132043
23,744.39,0.81804,1.40698,0.77615,1.05352,0.5664,0.68406,0.63891,0.51549,0.56086,0.68935,0.63667,0.48947,0.83495,1.74894,1.17497,1.11191,0.00130393,0.00130393,0.00130393
24,776.834,0.8143,1.42126,0.76504,1.03889,0.52832,0.69822,0.55978,0.42633,0.53056,0.70118,0.5534,0.41128,0.88743,1.87421,1.31492,1.15623,0.00128742,0.00128742,0.00128742
25,809.716,0.80157,1.40466,0.74824,1.03932,0.59005,0.69231,0.62095,0.48251,0.59321,0.67751,0.61379,0.45279,0.84641,1.81217,1.22224,1.12904,0.00127092,0.00127092,0.00127092
26,841.935,0.81073,1.3819,0.74854,1.03945,0.54634,0.71893,0.62658,0.50016,0.57239,0.71598,0.63532,0.48238,0.82932,1.85779,1.20986,1.12108,0.00125442,0.00125442,0.00125442
27,874.082,0.80612,1.38682,0.75596,1.03536,0.59082,0.6716,0.6252,0.49588,0.58213,0.68047,0.62043,0.47704,0.8103,1.74145,1.17273,1.09791,0.00123791,0.00123791,0.00123791
28,906.265,0.80518,1.37512,0.75194,1.04593,0.63121,0.67349,0.5996,0.47879,0.63147,0.67425,0.59932,0.46062,0.84785,1.83086,1.22901,1.11178,0.00122141,0.00122141,0.00122141
29,938.363,0.78144,1.3115,0.72671,1.025,0.57664,0.65385,0.56675,0.44358,0.57142,0.64793,0.56063,0.43269,0.83763,1.8382,1.35941,1.13207,0.00120491,0.00120491,0.00120491
30,970.581,0.8015,1.37421,0.73432,1.03101,0.61217,0.65976,0.63984,0.50215,0.62424,0.65385,0.62965,0.48162,0.84786,1.8332,1.2009,1.11801,0.0011884,0.0011884,0.0011884
31,1002.58,0.8038,1.3932,0.73739,1.03562,0.54037,0.66272,0.50724,0.39286,0.53472,0.65976,0.50213,0.3749,0.85038,1.76516,1.36178,1.11711,0.0011719,0.0011719,0.0011719
32,1035.21,0.78841,1.32763,0.74044,1.01965,0.56892,0.6755,0.61468,0.48211,0.58411,0.66901,0.6027,0.45824,0.83613,1.83138,1.21339,1.12469,0.0011554,0.0011554,0.0011554
33,1067.63,0.79084,1.34352,0.71415,1.02571,0.643,0.64497,0.62631,0.50047,0.64241,0.64843,0.61667,0.48967,0.84827,1.77913,1.25087,1.13182,0.00113889,0.00113889,0.00113889
34,1099.59,0.78702,1.36107,0.74002,1.03746,0.57704,0.60651,0.59169,0.4542,0.57454,0.58876,0.58053,0.44829,0.92597,1.82538,1.30988,1.15656,0.00112239,0.00112239,0.00112239
35,1131.46,0.7599,1.29095,0.68948,1.01479,0.60959,0.67456,0.67214,0.53396,0.61059,0.67456,0.67056,0.53048,0.82064,1.72787,1.13347,1.11793,0.00110589,0.00110589,0.00110589
36,1163.21,0.76851,1.33641,0.69359,1.02294,0.62211,0.69822,0.63793,0.50791,0.62055,0.70157,0.63073,0.49703,0.79944,1.70353,1.14306,1.09906,0.00108938,0.00108938,0.00108938
37,1195.7,0.77779,1.33156,0.68289,1.01209,0.59337,0.72962,0.65662,0.53116,0.59096,0.72666,0.65544,0.51338,0.8018,1.60502,1.1691,1.08124,0.00107288,0.00107288,0.00107288
38,1227.71,0.75913,1.29446,0.67537,1.01078,0.60724,0.69527,0.64638,0.52631,0.60989,0.68919,0.64149,0.50936,0.80627,1.68941,1.13033,1.09784,0.00105638,0.00105638,0.00105638
